TN;Quốc gia khởi đầu trong cuộc cách mạng công nghiệp lần thứ nhất diễn ra vào giữa thế kỉ XVIII là;Anh|Mĩ|Đức|Pháp;1;;
DS;Đọc đoạn tư liệu sau đây: “Từ xa xưa, nước có ý nghĩa đặc biệt quan trọng đối với các quốc gia có nền nông nghiệp lúa nước ở Đông Nam Á. Từ đó, những lễ hội té nước mang đậm bản sắc văn hóa truyền thống xuất hiện nhằm mục đích cầu mong mùa màng tươi tốt, quốc thái dân an, cuộc sống ấm no, hạnh phúc. Lễ hội té nước còn là nghi thức đón năm mới ở một số nước Đông Nam Á. Lễ hội ở mỗi đất nước có tên gọi khác nhau (Thinh-an ở Mi-an-ma, Song-kơ-ran ở Thái Lan, Bun-pi-mây ở Lào, Chôl Chnăm Thmây ở Cam-pu-chia) nhưng được tổ chức cùng một mốc thời gian với các hoạt động văn hóa đặc sắc và những nghi lễ mang nhiều nét tương đồng.”;Các nước ở khu vực Đông Nam Á có những tương đồng trong các hoạt động văn hóa;Đúng;;

DS;Đọc đoạn tư liệu sau đây: “Từ thế kỉ XVI, nhiều nước ở Đông Nam Á bước vào thời kì khủng hoảng, suy thoái và phải đối diện với sự xâm nhập của các nước phương Tây. Văn hóa phương Tây từng bước ảnh hưởng đến khu vực, xuất hiện thêm nhiều thành tựu văn minh mới. Đây là giai đoạn văn minh Đông Nam Á có những chuyển biến quan trọng cho sự phát triển của khu vực ở thời cận và hiện đại.”;Từ thế kỷ XVI, nền văn minh Đông Nam Á bước vào khủng hoảng và dần biến mất;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Từ thế kỉ XVI, nhiều nước ở Đông Nam Á bước vào thời kì khủng hoảng, suy thoái và phải đối diện với sự xâm nhập của các nước phương Tây. Văn hóa phương Tây từng bước ảnh hưởng đến khu vực, xuất hiện thêm nhiều thành tựu văn minh mới. Đây là giai đoạn văn minh Đông Nam Á có những chuyển biến quan trọng cho sự phát triển của khu vực ở thời cận và hiện đại.”;Sự khủng hoảng của các quốc gia Đông Nam Á là do sự xâm lược của phương Tây;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Từ thế kỉ XVI, nhiều nước ở Đông Nam Á bước vào thời kì khủng hoảng, suy thoái và phải đối diện với sự xâm nhập của các nước phương Tây. Văn hóa phương Tây từng bước ảnh hưởng đến khu vực, xuất hiện thêm nhiều thành tựu văn minh mới. Đây là giai đoạn văn minh Đông Nam Á có những chuyển biến quan trọng cho sự phát triển của khu vực ở thời cận và hiện đại.”;Văn minh phương Tây có ảnh hưởng hai mặt đến văn minh khu vực Đông Nam Á;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Từ thế kỉ XVI, nhiều nước ở Đông Nam Á bước vào thời kì khủng hoảng, suy thoái và phải đối diện với sự xâm nhập của các nước phương Tây. Văn hóa phương Tây từng bước ảnh hưởng đến khu vực, xuất hiện thêm nhiều thành tựu văn minh mới. Đây là giai đoạn văn minh Đông Nam Á có những chuyển biến quan trọng cho sự phát triển của khu vực ở thời cận và hiện đại.”;Khi văn hóa phương Tây du nhập, khu vực Đông Nam Á bước sang thời kỳ hiện đại;Sai;;

DS;Đọc đoạn tư liệu sau đây: “Nhà nước Văn Lang tồn tại từ khoảng thế kỉ VII TCN đến năm 208 TCN, kinh đô đặt ở Phong Châu (nay thuộc Phú Thọ). Kế tiếp là Nhà nước Âu Lạc (khoảng 208TCN-179 TCN) do An Dương Vương đứng đầu, kinh đô đặt ở Cổ Loa (nay thuộc Đông Anh, Hà Nội). Lãnh thổ của Văn Lang - Âu Lạc tương ứng với phạm vi không gian của văn minh Văn Lang - Âu Lạc, trên khu vực Bắc Bộ và Bắc Trung Bộ Việt Nam ngày nay. Văn Lang là nhà nước đầu tiên ở Việt Nam, mặc dù còn sơ khai, chưa có luật pháp,... nhưng tổ chức nhà nước đã có tính hệ thống.”;Văn Lang là nhà nước đầu tiên của người Việt, kế tục nó là nhà nước Âu Lạc;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Nhà nước Văn Lang tồn tại từ khoảng thế kỉ VII TCN đến năm 208 TCN, kinh đô đặt ở Phong Châu (nay thuộc Phú Thọ). Kế tiếp là Nhà nước Âu Lạc (khoảng 208TCN-179 TCN) do An Dương Vương đứng đầu, kinh đô đặt ở Cổ Loa (nay thuộc Đông Anh, Hà Nội). Lãnh thổ của Văn Lang - Âu Lạc tương ứng với phạm vi không gian của văn minh Văn Lang - Âu Lạc, trên khu vực Bắc Bộ và Bắc Trung Bộ Việt Nam ngày nay. Văn Lang là nhà nước đầu tiên ở Việt Nam, mặc dù còn sơ khai, chưa có luật pháp,... nhưng tổ chức nhà nước đã có tính hệ thống.”;Nhà nước Văn Lang mặc dù còn sơ khai song đó là nhà nước độc lập tự chủ;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Nhà nước Văn Lang tồn tại từ khoảng thế kỉ VII TCN đến năm 208 TCN, kinh đô đặt ở Phong Châu (nay thuộc Phú Thọ). Kế tiếp là Nhà nước Âu Lạc (khoảng 208TCN-179 TCN) do An Dương Vương đứng đầu, kinh đô đặt ở Cổ Loa (nay thuộc Đông Anh, Hà Nội). Lãnh thổ của Văn Lang - Âu Lạc tương ứng với phạm vi không gian của văn minh Văn Lang - Âu Lạc, trên khu vực Bắc Bộ và Bắc Trung Bộ Việt Nam ngày nay. Văn Lang là nhà nước đầu tiên ở Việt Nam, mặc dù còn sơ khai, chưa có luật pháp,... nhưng tổ chức nhà nước đã có tính hệ thống.”;Sự kế tục của nhà nước Âu Lạc với Văn Lang là do chiến tranh bảo vệ tổ quốc;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Nhà nước Văn Lang tồn tại từ khoảng thế kỉ VII TCN đến năm 208 TCN, kinh đô đặt ở Phong Châu (nay thuộc Phú Thọ). Kế tiếp là Nhà nước Âu Lạc (khoảng 208TCN-179 TCN) do An Dương Vương đứng đầu, kinh đô đặt ở Cổ Loa (nay thuộc Đông Anh, Hà Nội). Lãnh thổ của Văn Lang - Âu Lạc tương ứng với phạm vi không gian của văn minh Văn Lang - Âu Lạc, trên khu vực Bắc Bộ và Bắc Trung Bộ Việt Nam ngày nay. Văn Lang là nhà nước đầu tiên ở Việt Nam, mặc dù còn sơ khai, chưa có luật pháp,... nhưng tổ chức nhà nước đã có tính hệ thống.”;So với nhà nước Âu Lạc, nhà nước Văn Lang có tổ chức cao hơn, chặt chẽ hơn;Sai;;

DS;Đọc đoạn tư liệu sau đây: “Những hoa văn trên trống đồng, thạp đồng, các di vật khảo cổ cho thấy cư dân Việt cổ có tín ngưỡng thờ Mặt Trời, thờ vật tổ (chim Lạc, Giao long), sùng bái tự nhiên, tín ngưỡng phồn thực, cầu cho mưa thuận gió hoà, mọi vật sinh sôi nảy nở. Người Việt cổ cũng thịnh hành tục thờ cúng tổ tiên, thờ Mẫu, thờ cúng những người có công dựng nước và giữ nước.”;Thờ thần Mặt trời và thờ Vật tổ là những tôn giáo bản địa của cư dân Việt cổ;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Những hoa văn trên trống đồng, thạp đồng, các di vật khảo cổ cho thấy cư dân Việt cổ có tín ngưỡng thờ Mặt Trời, thờ vật tổ (chim Lạc, Giao long), sùng bái tự nhiên, tín ngưỡng phồn thực, cầu cho mưa thuận gió hoà, mọi vật sinh sôi nảy nở. Người Việt cổ cũng thịnh hành tục thờ cúng tổ tiên, thờ Mẫu, thờ cúng những người có công dựng nước và giữ nước.”;Tín ngưỡng của cư dân Việt cổ gắn liền với quá trình sản xuất nông nghiệp;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Những hoa văn trên trống đồng, thạp đồng, các di vật khảo cổ cho thấy cư dân Việt cổ có tín ngưỡng thờ Mặt Trời, thờ vật tổ (chim Lạc, Giao long), sùng bái tự nhiên, tín ngưỡng phồn thực, cầu cho mưa thuận gió hoà, mọi vật sinh sôi nảy nở. Người Việt cổ cũng thịnh hành tục thờ cúng tổ tiên, thờ Mẫu, thờ cúng những người có công dựng nước và giữ nước.”;Tín ngưỡng của người Việt cổ hình thành đồng thời với sự ra đời của nhà nước;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Những hoa văn trên trống đồng, thạp đồng, các di vật khảo cổ cho thấy cư dân Việt cổ có tín ngưỡng thờ Mặt Trời, thờ vật tổ (chim Lạc, Giao long), sùng bái tự nhiên, tín ngưỡng phồn thực, cầu cho mưa thuận gió hoà, mọi vật sinh sôi nảy nở. Người Việt cổ cũng thịnh hành tục thờ cúng tổ tiên, thờ Mẫu, thờ cúng những người có công dựng nước và giữ nước.”;Trước khi các tôn giáo du nhập, người Việt cổ có tín ngưỡng bản địa phong phú;Đúng;;
